Frame,Timestamp,Credits,Win,Bet
26144,0:07:15.733333,$620.00,,
26159,0:07:15.983333,$620.00,,
26174,0:07:16.233333,$640.00,,$00.00
26189,0:07:16.483333,$590.00,,
26204,0:07:16.733333,$590.00,,
26219,0:07:16.983333,$590.00,,$00.00
26234,0:07:17.233333,,,$00.00
26249,0:07:17.483333,,,$00.00
26264,0:07:17.733333,,,$00.00
26279,0:07:17.983333,,,$00.00
